Qobs,Precipitation,Peff,Qmean,Qinf_2_5,Qsup_97_5
0.997,14.3,13.64,1.1543697534197517,0.8586864472262334,1.575142190870759
2.526,15.1,14.45,2.2708192713206916,2.055886427142776,2.4902101073768264
3.655,6.2,5.5600000000000005,3.813934595439232,3.598355948255645,4.050222328683983
2.542,1.4,0.7599999999999999,4.270225198057064,3.8027351071874427,4.644953275501259
1.828,2.5,1.87,3.7432403538681376,3.310417218299691,4.25523961810691
1.578,5.2,4.57,3.091067095994591,2.618477049398986,3.7124617294386737
1.695,4.9,4.28,2.7873653145972557,2.318620680343694,3.331979758860663
2.027,7.5,6.88,2.6429581985978463,2.102968187717156,3.1617799226132703
3.041,9.6,8.99,2.853217894805513,2.4481871879099524,3.3277543307157837
3.024,0.0,0.0,3.3736290069407846,3.023265301988361,3.7848068642532193
2.027,0.0,0.0,2.9486826827512687,2.507259254402881,3.4213124361237597
1.695,0.0,0.0,2.261167408120499,1.9066120777521622,2.81821249593242
1.568,0.0,0.0,1.5851051293393335,1.2270950367652225,2.2130976722589275
1.502,0.0,0.0,1.0567556718437197,0.7503320564363923,1.6260502559755414
1.442,0.5,0.0,0.6579117388763303,0.41100342330201606,1.0634206125208012
1.392,0.0,0.0,0.3891904658744003,0.2180084193760921,0.7011143722526851
1.323,0.1,0.0,0.22282872166043285,0.10525434105680695,0.45370105484974554
1.243,0.0,0.0,0.11975540027369953,0.050550129639202954,0.25463535861379766
1.196,0.0,0.0,0.06131150511827835,0.02026365204535955,0.15231642828022576
1.156,0.2,0.0,0.030106275062476654,0.008070481810383891,0.08399696446322306
1.117,0.2,0.0,0.014386446311258946,0.0029060416823764243,0.04425489725854635
1.08,0.0,0.0,0.006435404163609619,0.0010696185726816296,0.02293169342750782
1.05,0.0,0.0,0.0029195145715859593,0.0004480211577515732,0.011696291521850522
1.017,0.0,0.0,0.0013512616828675254,0.00020152751093199586,0.005592572029368969
0.987,0.0,0.0,0.0006418723003626343,9.275993090523778e-05,0.0032653066098390295
0.957,0.0,0.0,0.00030860001895091285,4.166648583698712e-05,0.0014971464708361621
0.927,0.0,0.0,0.00016025158606689893,2.0091068616278723e-05,0.0007100845885652895
0.894,0.0,0.0,8.22199021662585e-05,9.46317319919574e-06,0.00042535511536017913
0.864,0.0,0.0,4.525553524800251e-05,4.815569555727679e-06,0.00025930331049642307
0.834,0.0,0.0,2.3472524763445285e-05,2.069723295233713e-06,0.00012475226614462115
0.804,0.0,0.0,1.3110209842891705e-05,1.0396759418630766e-06,7.628091536983322e-05
0.774,0.0,0.0,7.216663351419853e-06,3.2681806076197884e-07,4.194676404382601e-05
0.741,0.0,0.0,4.089371570092351e-06,8.990482596634847e-08,2.5152644555945658e-05
