mu,lambda,sigma,nse_best
0.9487737801967601,2.26107409553241,0.0005390161171943242,0.2732940092819618
0.9497989188360496,2.2094219161632087,0.006302309753313873,0.27605565803840004
0.949764223400386,2.2257005081594294,0.014288238252518116,0.29320295587658296
0.9496051149051713,2.236792769713825,0.018148550344564574,0.26667378546405895
0.9497312509948893,2.186436420379641,0.015918438710509398,0.2907325829366354
0.9494726627295239,2.185145705625943,0.012540842104617957,0.27437394382236047
0.9485488512737208,2.028362443672621,0.001067562226304919,0.2694110878918786
0.9483280043003378,2.1784668559773053,0.0019504447378535961,0.273620162413059
0.9499612214977793,2.2997583910642643,0.038037870361635966,0.29010918627717386
0.9493177210780532,2.2330782293149407,0.0008722830216858047,0.2629675155337171
0.9492669082762061,2.1407788867461828,0.0028157344991360245,0.2753238674962458
0.9481462467508487,2.4157480804533695,0.014108313978698862,0.29447052687533504
0.9471511531965802,2.0686029804238166,0.0007258770894171374,0.27109691069481767
0.9498882135534856,2.1557457824140327,0.003938052736322162,0.2726645200193618
0.9484390561228753,2.518829838977568,0.021152240070781394,0.3559331158872895
0.9474622275616846,2.070276161749555,0.002131409782533822,0.27015121714210655
0.9481300191661788,2.1546981649887984,0.002653117800944793,0.27154259236113576
0.9494466761279997,2.231561462519089,0.017785037995174613,0.2821142582707086
0.9493838213374288,2.0850815210336897,0.010783838876478536,0.2800927467510488
0.9491706631002841,2.1983413775113596,0.00037610711824687115,0.27575395891771437
0.9496073033562556,2.3817787692392196,0.0008955219664210202,0.27013990211022354
0.9488242112608334,2.3152869058373264,0.005066267739908915,0.27475152164733674
0.9497210822768799,2.0651435963677196,0.008544128931591987,0.27517710403619733
0.9497464017115667,2.362449990997253,0.0328674056667001,0.28256856172595546
0.9492647782487942,2.293878956118084,0.005214978610909438,0.26878906402322544
0.9491268264543531,2.147571425831967,0.001773222309381073,0.2743966399475618
0.9467650405544438,2.1960553409769914,0.00415345971053348,0.2708052834894149
0.947607010032103,2.1772666496023128,0.000392279026439224,0.27399082560808996
0.9490738724696411,2.1941820221087815,0.001753128215707389,0.2754827169642562
0.949581991470668,2.254236097481594,0.0050520871349692305,0.2733404406154777
0.9495616911042113,2.274265969379221,0.009023239485982704,0.2765447639065999
0.9487440850650635,2.251357076252284,0.005420076240908511,0.27270322324558327
0.949993936843029,2.3060470515439304,0.0007285150616292536,0.27505844678402336
0.9499428938668344,2.149785694874618,0.02067476092875553,0.28195856401748765
0.9490700861076864,2.3566495682200888,0.0047239171811938934,0.2708081760661739
0.9496516590449062,2.2301009871646214,0.002783242098158079,0.275145563678206
0.9487567954086559,2.1571428396801333,0.0029404901072419445,0.2748643122907727
0.9495881631963494,2.165153739196555,0.0039232392919861915,0.26962644611406805
0.9495806494835493,2.1767081188511743,0.00038286523617567795,0.27688971597779166
0.9492295582755429,2.261866894026282,0.0035115430557957185,0.27535890139914543
0.9402678133002442,2.246615034357201,0.000950155586757695,0.2847328859506183
0.9454142156368313,2.3432197683766214,0.0009529269820858666,0.2634215359567018
0.9483554314696776,2.2076814065924717,0.0038758067146697495,0.2739821675201628
0.9490923505978148,2.2240185121945975,0.04734663749014576,0.2829668718038625
0.9492489929244833,2.235737225918495,0.013136261980394283,0.2734597571917934
0.949190616715017,2.135412967206926,0.006301472787911578,0.2738096348031277
0.9496338604862622,2.3054260503617234,0.004249975744844115,0.29194474010890903
0.949058338129049,2.241428245584248,0.010145046367663092,0.28687297129726197
0.9472106374273106,2.144802597405687,0.004672905866381727,0.29789582130362746
0.9487462401825495,2.3103027097552102,2.9125254227080346e-05,0.2727193905956029
0.9477853833994061,2.224738815914774,0.0010580770449307943,0.2727142278611776
0.9488313064187079,2.2433589196912664,0.007221994267832654,0.2793296566151495
0.9477606128806318,2.2328509292518763,0.0022317495144408284,0.27045423677898284
0.9488925273130877,2.1603838978706795,0.029161319062749637,0.2897430298691611
