date,flow_obs,flow_sim,precipitation_mean,tmin_mean,tmax_mean
1982-01-14,,0.78,9.608,3.023,12.295
1982-01-15,,0.818,6.83,2.652,11.841
1982-01-16,,0.858,2.878,1.993,13.531
1982-01-17,,0.916,3.62,3.208,12.804
1982-01-18,,0.976,6.164,2.942,11.887
1982-01-19,,1.0,4.655,3.809,12.499
1982-01-20,,0.997,4.357,2.904,13.684
1982-01-21,,1.014,8.547,3.092,14.129
1982-01-22,,1.081,10.944,2.391,10.964
1982-01-23,,1.155,4.283,2.479,10.543
1982-01-24,,1.245,1.834,2.222,12.189
1982-01-25,,1.335,0.69,2.187,12.806
1982-01-26,,1.37,1.178,1.442,12.665
1982-01-27,,1.321,2.048,1.795,12.945
1982-01-28,,1.215,0.711,1.692,13.282
1982-01-29,,1.092,1.343,2.721,13.404
1982-01-30,,0.937,0.364,2.344,14.397
1982-01-31,,0.806,0.269,1.369,14.197
1982-02-01,,0.693,1.812,3.167,13.105
1982-02-02,,0.625,0.61,2.46,13.902
1982-02-03,,0.591,0.803,2.659,14.821
1982-02-04,,0.57,2.837,3.46,13.78
1982-02-05,,0.564,4.451,2.676,12.49
1982-02-06,,0.566,1.499,2.79,11.518
1982-02-07,,0.569,2.502,2.592,12.249
1982-02-08,,0.569,0.64,2.43,13.093
1982-02-09,,0.561,1.232,2.628,12.663
1982-02-10,,0.543,0.424,1.769,14.088
1982-02-11,,0.504,0.057,1.23,14.312
1982-02-12,,0.458,0.133,1.747,15.222
1982-02-13,,0.391,0.118,1.852,15.732
1982-02-14,,0.331,0.159,1.174,14.655
1982-02-15,,0.285,0.179,2.336,14.415
1982-02-16,,0.26,0.785,1.14,13.993
1982-02-17,,0.212,3.977,1.097,14.035
1982-02-18,,0.196,2.386,2.635,12.756
1982-02-19,,0.205,3.999,3.287,13.567
1982-02-20,,0.26,1.906,3.664,12.874
1982-02-21,,0.298,2.015,2.664,12.83
1982-02-22,,0.355,7.325,2.727,12.345
1982-02-23,,0.43,4.793,2.577,12.006
1982-02-24,,0.532,3.383,1.949,12.791
1982-02-25,,0.643,2.255,2.154,13.012
1982-02-26,,0.733,2.317,1.401,13.303
1982-02-27,,0.76,1.432,2.23,13.408
1982-02-28,,0.742,4.241,2.767,12.336
1982-03-01,,0.702,7.323,2.013,13.101
1982-03-02,,0.694,4.247,1.556,10.412
1982-03-03,,0.715,4.798,2.272,12.745
1982-03-04,,0.803,11.045,1.945,11.706
1982-03-05,,0.925,8.953,1.223,11.696
1982-03-06,,1.09,2.193,1.739,13.09
1982-03-07,,1.253,0.662,0.61,13.888
1982-03-08,,1.39,1.729,0.57,14.209
1982-03-09,,1.339,6.578,0.302,13.039
1982-03-10,,1.179,6.802,2.11,13.848
1982-03-11,,0.975,5.619,2.433,12.962
1982-03-12,,0.824,4.58,2.75,12.594
1982-03-13,,0.759,7.158,1.387,13.512
1982-03-14,,0.758,2.634,2.357,14.029
1982-03-15,,0.774,2.205,2.043,14.058
1982-03-16,,0.787,3.961,1.915,13.809
1982-03-17,,0.757,3.811,1.986,13.399
1982-03-18,,0.701,3.904,2.188,13.03
1982-03-19,,0.642,1.242,1.057,13.929
1982-03-20,,0.602,7.824,2.59,13.764
1982-03-21,,0.598,2.743,2.508,13.855
1982-03-22,,0.622,3.784,2.798,15.121
1982-03-23,,0.666,2.5,2.648,14.063
1982-03-24,,0.706,2.78,2.118,14.314
1982-03-25,,0.718,1.12,3.092,14.701
1982-03-26,,0.71,1.611,1.98,14.804
1982-03-27,,0.688,2.832,2.218,12.519
1982-03-28,,0.643,1.226,1.945,12.702
1982-03-29,,0.603,3.191,1.587,14.613
1982-03-30,,0.575,1.709,2.843,14.618
1982-03-31,,0.551,2.62,1.307,15.119
1982-04-01,,0.541,0.28,0.403,14.988
1982-04-02,,0.543,0.481,0.713,14.172
1982-04-03,,0.545,6.488,0.48,14.316
1982-04-04,,0.545,1.302,0.523,13.472
1982-04-05,,0.569,5.933,0.053,12.054
1982-04-06,,0.613,4.955,0.514,12.929
